path1,path2
63567,13036
24486,147661
110044,140449
105056,139745
138021,135417
73202,24689
64847,114613
83286,130906
148665,42595
64856,14988
130398,45465
41672,105050
148071,64065
64180,138243
117153,67211
64406,79116
94482,61290
7300,47752
71144,64831
5776,121519
99660,113525
108421,53141
116809,97314
143039,44190
122604,106137
4785,46259
91797,110939
91141,121872
44144,149801
146520,124249
73131,76417
13470,51875
47565,43695
65706,103208
133554,58814
81992,28353
122333,110286
142343,38218
51145,61858
128837,65453
97301,47820
53339,33622
80555,113918
132805,50759
126508,78939
26208,1155
85342,127745
27572,111542
131111,34950
116859,103319
17821,131778
17387,67373
133617,139983
91567,68655
6265,21146
20701,77980
119707,61350
80519,10643
70869,98616
122404,124693
55238,97041
33651,58235
23198,144900
126529,68558
136752,138690
22970,26063
16940,136849
30568,105509
61907,48254
121638,90882
100504,149538
70323,107072
95055,134070
54964,148699
71490,25403
88267,20239
81920,145467
138914,24996
147141,33617
39551,61435
85874,144552
107203,56711
40106,148204
811,9923
114892,89305
83194,103457
30544,63881
23810,73044
22813,30249
119348,137313
10667,127204
94433,39102
89991,144304
143550,110799
114713,108370
140295,121193
134852,129561
62255,92014
90680,136358
11833,33487
138264,67755
37147,49099
47587,89328
93438,85243
80941,117145
26789,14655
103694,26048
54333,1343
106785,978
43989,110093
105741,117871
55176,145729
121742,109154
140360,30680
75901,45602
132399,51369
89506,38427
68907,101248
51088,15525
22960,73845
102256,755
52276,233
108566,53646
99803,37913
34449,113190
5512,84057
91281,123175
75989,89167
139696,48989
13855,25903
147626,107690
35281,5030
43454,90556
121031,138688
97190,50513
139061,130118
27537,122167
100358,38781
146689,30497
91067,30417
48194,68687
71780,91406
83533,68111
72510,118608
66407,76845
62252,119675
26711,63975
147825,13437
25884,70225
38670,112186
11488,54499
39547,103133
33967,127737
141607,61309
142344,71776
84238,130737
109744,143416
66482,142985
90772,143253
40976,130833
13682,121749
104834,130355
75024,34651
185,133466
77013,124380
21123,132131
102774,135505
135917,59468
123792,45615
73878,101614
133867,111953
110836,118039
57425,98541
142769,32095
42614,12572
17217,80722
32378,43283
133820,143082
126561,105492
9361,53675
143037,41650
65367,148436
99639,102547
4206,99160
71949,132854
58662,143288
143267,49892
130719,39135
96826,49887
13860,74700
11153,80395
44782,80194
59213,143578
61783,136086
11369,44441
131512,114175
70698,23558
65568,114458
84450,110971
65634,23546
48672,44721
127791,111956
17766,116011
19072,97446
18012,34893
147917,35500
109945,25673
141861,139858
115475,30160
45913,48876
50317,44395
122888,59041
113009,141440
126407,109828
51120,94622
133844,25139
42835,26545
69197,15599
107106,4547
23888,48407
32518,54653
19666,128576
96821,39316
136799,26752
13474,125601
96827,37736
59593,73326
36115,107374
142131,13524
126077,146467
42571,87616
127078,53908
30139,67168
110110,65480
147807,27575
40456,88714
144871,32607
85270,78156
58218,53701
3642,109618
103844,123166
78840,106645
642,102590
121553,75544
95043,25803
118494,12318
74201,36918
2543,1400
55666,119651
19478,19345
131924,67687
104425,4320
147269,119536
95765,141793
111596,50572
126793,86216
19948,32832
122777,112516
56226,122823
104232,103946
124907,112049
28008,144834
147068,70897
26527,71815
33371,31672
720,141970
120892,112884
134908,30354
76303,109749
99953,83595
37049,98797
127125,98553
47266,60380
128770,48430
64950,9378
38584,113945
33194,105424
59007,145627
115951,31937
77947,76424
49467,46582
23794,124286
62015,95923
84203,63149
32334,120733
123633,119094
27920,137804
99406,76822
4028,138819
143847,83028
34278,13452
67881,90485
113684,1547
111214,30014
21124,126309
129535,144611
40621,83503
127983,136520
2390,106534
89255,77189
36097,142277
12211,51047
49347,40579
21937,148256
44683,35028
14479,66147
147397,27875
148367,114422
5904,99730
69748,34478
132826,149274
93859,30119
96620,56136
139229,36128
39588,72585
146679,19454
56336,111587
70836,63597
95234,1485
64646,83647
63974,130801
141347,136838
119542,117949
59475,110153
56242,3251
138079,28069
5514,5945
75245,98245
136295,137384
22065,102579
137945,107408
114696,30772
140481,85158
26699,107516
105444,11455
16281,78684
73539,115613
112096,59959
22232,27165
47939,102213
75184,23132
8773,24554
139180,32758
48959,12785
6429,84907
47574,59681
90419,124122
97313,86223
95509,71853
122039,99646
1293,128210
84846,67218
112757,147895
17165,146146
7140,38610
31523,111249
4958,139045
51675,78377
30013,32469
89568,99179
109774,30891
116126,35558
34094,40321
119908,107592
96479,60932
50943,137074
14380,108703
64606,41456
43457,106264
80006,104432
76467,86749
50281,47871
108515,9289
71358,44624
3346,102446
76619,57715
54877,53604
23644,1369
95916,41656
4915,82803
141859,124840
56330,3939
4809,41777
70180,94025
14183,61751
130351,146991
138626,7152
21231,70141
28027,141641
141412,65867
135144,84950
69278,107622
141769,89204
44094,50361
109682,83294
90351,29838
134246,31874
92667,66413
44437,115503
62689,145412
943,5765
112914,111736
38541,87921
7153,86537
52874,133956
114990,62428
131888,130794
149312,98352
41027,120281
112415,96182
62325,275
102970,2540
114244,61728
20004,107972
32131,13760
81839,117176
45280,24100
49925,30874
105300,136383
86308,114603
96207,19507
145714,146938
57015,28770
49742,39283
97900,145550
25898,99289
85392,135083
53183,139285
45306,64460
80778,146008
26773,65840
114007,93732
148454,60352
148184,84420
133614,38649
53731,40445
22882,4216
6642,117269
63902,143028
57677,127052
92197,49267
54021,90401
92583,55824
129533,53288
55272,49910
125880,110026
35025,50658
82725,11566
87604,8791
142378,129964
147912,109903
15928,142219
5883,91450
35804,77138
7599,122610
90989,139976
32611,56936
12092,127149
138693,31098
13664,8231
92896,85245
37347,61560
90392,131323
132532,4262
53412,113723
26576,76759
105633,118186
113340,27969
79087,43425
93793,64959
116826,71503
109084,9831
128198,12281
134529,13849
9399,44405
20336,61882
63623,128029
125086,53554
63328,132441
71091,3660
99092,84548
111428,25191
94536,48326
138848,20970
1551,126721
90921,77096
83097,23763
125243,27251
32660,15359
128231,95288
43759,127328
105733,42705
77512,142981
49733,81459
81225,60052
62653,81350
121426,136741
75917,55766
28730,87992
58015,53375
81464,110103
81823,23284
143611,34923
86635,69638
39682,99211
5062,43738
106086,36594
61171,117458
37043,27731
32433,21799
62303,70302
53240,148555
12492,10957
136138,136819
8029,116582
71783,54572
23161,51779
829,59170
143529,112825
149240,12748
42616,136564
37040,31966
99616,130813
80548,88287
20469,57086
118113,142191
33864,146980
10233,68768
42037,85780
108065,51993
52485,24639
53545,135460
93050,88710
15080,11718
78302,18986
89818,10008
149293,84835
7492,132523
78491,120128
29931,38984
123977,57172
135878,133316
123653,149056
121608,133369
36149,79306
68648,80908
30001,43952
9638,109754
38006,37598
37687,6217
4372,146196
112408,63095
7473,82176
34835,49240
2702,6951
5986,119749
127353,8810
26515,22391
11339,56825
10255,134359
103595,108338
8082,12056
54143,142585
138237,80606
124150,5605
25771,38217
78279,59547
76340,37773
106121,40772
130761,3249
61064,139974
21469,26730
22353,39405
49156,43088
85763,61944
39501,146756
130783,119400
86077,77902
85183,53296
42985,28338
77237,90730
1196,116948
19856,2570
81626,149116
65414,34572
63907,22699
39725,95819
20036,52092
32349,113279
67801,121797
19915,38488
80411,70551
131910,64449
140049,131185
30824,14621
13905,16363
56801,66779
93293,89929
36262,87165
104420,112609
138353,89046
61120,101205
125669,64536
238,124716
58356,97415
59358,9572
138123,333
112896,145987
31021,67075
122762,111354
26797,56246
126110,111867
75991,45228
143852,117200
54263,136721
68352,110175
47857,14055
131580,102988
139327,85145
111028,9124
110372,45787
82821,67152
83170,17700
32121,122578
17612,119726
139138,30634
38537,37789
13283,74223
110184,43108
110121,4010
75674,26698
22804,126364
101878,56249
38485,58266
144340,111855
77212,58637
55169,93004
59160,35922
129612,7162
59309,51929
48349,55575
8875,83768
30349,122336
78512,27319
46990,120029
55233,118125
44925,21702
19575,104428
89078,43416
104308,59600
20432,137952
67408,72295
40354,101946
16514,31531
14376,149244
126481,118575
21244,34625
95005,116237
36261,33243
134225,17928
142111,84728
32729,111999
94093,124730
121206,132106
117763,59272
16085,76286
84897,9067
105788,57638
134420,19531
111051,128436
620,48842
110802,145823
32805,42444
114698,69750
95538,16441
30979,118345
118906,9791
2856,91892
55351,106600
12623,107510
31698,86615
127921,121216
30010,2656
91798,41794
88482,59260
141457,142166
36069,114584
40083,69243
100726,121815
99912,144532
121697,4762
121277,100480
117270,107341
115971,53895
42548,10121
32221,99058
9454,77727
130902,11297
76660,123677
103242,118982
101136,83752
25527,147194
105139,62571
47482,132077
137624,63054
123816,63226
75942,98573
9219,83435
103215,55459
63654,80050
149594,79006
149165,2360
115739,41877
22855,36543
271,31595
22269,2015
44817,83443
138225,11490
89073,125939
890,133419
89901,139757
29178,92200
97209,23217
2984,29826
28036,80393
140023,35060
69757,23383
1993,92085
110357,125308
43140,8826
131867,48189
68512,67636
132650,90678
991,21562
87998,90245
137758,26584
84398,5498
41876,111543
91434,67098
81484,69772
102949,41365
86539,135086
69335,38666
116024,18665
58915,66253
137261,112792
58107,38368
53564,100826
73079,121165
145031,20022
119335,72597
84591,73483
64062,142871
139330,107545
113935,118882
55622,125068
113186,11480
110001,67058
64524,74553
136172,71041
135536,47886
127694,57636
138066,96521
35910,70303
22811,92982
130199,136036
52319,66333
96633,145909
128887,40109
133716,147533
10982,68801
27997,16240
93475,97157
138417,110603
149340,146637
76082,27598
94157,139615
132607,133489
83522,30298
131619,58092
5066,19099
3822,137186
71152,106439
107348,102820
35884,95102
26045,5595
65435,107564
53802,32504
84226,88927
61366,84236
96401,80834
107561,38841
100667,132349
28276,97025
125733,62170
124083,3779
73341,133608
14786,4284
106601,114250
90606,64850
78730,5187
69641,79796
73705,77522
725,19944
60959,77239
84757,74106
45417,25257
72372,13021
89934,73728
117955,145074
117795,138696
76653,123006
122923,18592
36791,27860
43569,113921
143108,101356
79874,47011
53250,101770
63238,108044
30599,86937
24084,59377
105159,103452
108233,51952
8915,52371
52735,36750
138717,70082
96676,134383
30796,48745
68848,132961
59276,104205
97785,132939
80270,109402
70050,137019
129285,19881
95465,65078
90705,95134
17007,125272
49048,79920
16912,113636
77604,132673
59029,10157
47391,126265
35109,59201
92015,34920
102906,87677
70277,2717
97399,50863
31766,113153
144493,61084
52935,25617
52066,48873
30405,97842
78238,15552
145325,70487
63085,30363
93250,89723
10158,54396
73920,51312
137791,146844
39365,113287
83550,135902
20147,56079
113262,30926
39018,108295
769,143133
119350,133247
64660,82036
142602,3566
35936,100386
130920,1048
66196,85036
57902,82129
107915,145941
139963,25386
50536,63699
148996,83008
86746,37004
141419,53293
148374,95996
37420,9949
34232,129396
104707,108619
141126,49268
10204,82687
129444,61905
3812,112403
25251,147832
145438,11766
30862,31953
142822,74967
16326,10628
127981,148080
20291,81513
28373,268
3526,22654
41311,139099
73473,147610
134221,29979
107392,119521
101076,89109
23449,5683
44716,149309
104227,48522
67527,23717
51937,107349
75471,22497
21675,73075
22940,15353
73233,114554
131576,51788
45986,56672
87421,65481
107614,134557
65889,144785
104398,12838
107496,41287
22997,122779
58522,59835
35699,34587
46985,44497
118234,148260
71768,46874
102298,69029
27334,34023
146890,105080
112945,77533
51464,25457
99725,110141
35093,130603
8329,86475
129866,47235
118938,62092
71983,63349
143660,51775
2061,110036
61367,124272
109569,62458
26446,26754
147847,83940
100270,81413
117185,68423
51478,8592
28231,3601
44498,81863
115687,15393
41171,39574
71971,127323
36098,90749
87293,3825
89396,53608
45068,21322
114467,109844
45546,24050
146899,34194
40298,70459
102981,83433
29662,73933
139544,131735
42088,61952
34174,22696
60575,110640
123870,83984
100239,117853
112562,34305
1357,133250
30782,116214
73101,60213
149462,26351
138213,87283
46524,86109
76617,140955
85123,8248
60949,89884
9317,83425
2217,33566
148323,89493
8071,79669
57673,45676
85861,63341
106708,1652
20159,32327
25135,83837
142164,4438
129786,61152
96464,58676
70477,107668
119030,2591
20604,125567
56400,66503
83814,65264
92665,126078
175,58149
83559,74819
120051,38815
128569,142763
18729,143422
132514,112124
76563,48062
9327,66841
105390,86200
42031,14756
107196,123124
68774,133677
81102,62566
2843,125051
20283,49176
77217,24425
95446,272
6872,120355
39923,39484
139226,39027
88599,126102
59802,59368
99606,50642
116661,142834
94453,54786
15470,51826
120843,46770
29477,145090
71085,96512
55654,20821
123359,62102
88766,91566
34236,56756
59121,118520
73114,125071
92540,26139
58531,76752
112535,24704
102759,82508
126059,93700
111513,4899
136200,130205
21740,53477
65864,87138
110161,47278
94168,76939
63558,33574
34134,44677
74463,119924
146580,138534
120331,146820
77817,148832
141043,13293
56876,31203
141266,126248
39565,56108
35052,76926
127404,139688
4836,90949
81172,148582
90773,36648
10268,15637
82932,145571
112381,54318
106702,99629
115008,39881
14159,115111
5607,76329
135855,58197
78585,132285
67649,25080
38272,76244
84809,103978
82469,90198
19709,92908
33393,148705
19749,108107
113755,51936
88929,64581
60024,112083
109379,141602
63350,36104
60905,6166
15155,138709
138852,14262
124338,94477
56500,40736
526,86049
111222,120784
46232,113437
145345,50112
38503,7474
125447,131092
119671,64876
24475,43244
47972,8980
131436,20430
70144,133349
142200,9886
95121,143681
111072,141829
147472,36960
2294,109208
10713,88071
3059,102657
42359,121414
93461,91244
95159,130881
78693,99378
148919,109173
72394,63710
51987,79612
125772,138034
135938,65076
63776,126665
94181,37231
72680,137597
17279,14547
41253,46817
86801,72250
127360,112193
89660,9479
84065,84083
62633,32070
113911,130293
123165,76351
7763,108003
120655,143123
49963,91073
8023,64016
43894,141088
21913,109362
49412,141998
36256,62897
127856,35758
35523,68610
63661,45205
63990,4550
31445,86911
41420,18735
121166,13765
100343,108374
115395,2921
69108,33855
16519,120006
35194,117015
36024,61212
36093,4578
76350,100622
57794,27656
141001,142099
142876,8292
23574,19853
16482,49378
117652,79614
130854,140054
15896,78926
47121,18714
88434,43718
73897,103886
81282,130292
30430,78037
71676,38481
105976,97371
87987,98790
129731,136373
4164,81293
8570,57657
119161,60433
63947,67493
112246,104471
75601,139580
34992,13834
124469,143077
100809,93505
37554,66286
41533,69835
116758,103202
135748,25538
14370,102942
145396,64854
77113,4007
148875,82952
3288,25076
105839,74825
163,84017
52624,4420
104200,137877
80284,88258
138146,28181
114537,116863
86860,80872
3823,76246
41620,21908
47190,103335
128853,66036
74240,55994
21726,49657
98196,6572
5956,91189
91315,88813
97502,70561
45315,135329
4121,13265
14386,32376
127313,125511
105545,91326
3189,96590
107397,23715
5258,98121
109274,130705
90685,48433
90880,15777
66792,56459
12883,27047
64783,142867
56461,87881
28684,139000
130672,66698
132843,127348
78369,94263
139700,26461
141749,130070
73155,14266
76909,94369
107471,76207
44606,27786
43889,84639
65252,108697
98504,80518
60596,24131
138533,40535
85726,146685
148591,130264
146242,82171
54613,1417
56798,89874
119514,83380
96326,37912
80903,37813
80968,115589
61627,30950
91723,86683
145834,136517
25237,58846
102492,15400
23588,69699
62578,77636
90157,6672
113654,46246
89373,10821
9179,42287
13957,63362
109261,10250
1051,15385
35737,43023
83285,114254
122943,74082
114682,144823
28633,45783
112211,27229
126769,70987
45115,143173
129328,36165
78258,84397
56155,49233
40534,50179
78320,16937
54425,27230
106125,94285
146484,113005
23743,25439
41099,37701
39807,141941
100738,102038
135562,124090
20156,49817
84529,139914
108502,60826
57105,27107
138985,134303
71412,98539
103099,59451
135991,38885
129919,65434
90889,6562
115342,144790
42266,110796
123491,35962
86555,46464
127817,6261
21176,36600
94270,65366
72225,121503
138607,76477
81234,135158
55038,145062
37236,99846
54657,83493
112409,72018
101810,12605
59375,136105
36673,40357
47711,134409
99356,117340
117556,88446
6897,43790
22695,67640
15340,54763
131494,95537
33245,101193
83102,21005
119895,51182
146790,39632
97556,17105
143939,56930
148375,64094
39112,98094
142414,142833
137510,48747
88391,51893
23237,17764
128813,41300
119987,135763
65427,30711
29236,87551
123075,73737
133571,65026
117742,135974
87695,94899
125403,27284
23499,98674
44985,82729
17826,137231
114289,84239
4211,89681
81301,133939
108051,25526
73675,103614
97589,11118
1838,74022
86360,30026
108345,11467
89094,99715
51044,43195
32879,50392
149033,78414
140605,44586
1121,116563
124183,86789
123071,56301
82042,52992
39644,18502
25902,32486
85170,73104
71075,20175
33236,15065
67115,36969
109055,89386
33119,4500
78075,10476
124299,89923
85352,41604
66987,124636
138734,145385
9157,28556
104299,95648
117592,83056
128055,35820
71354,122833
75517,91069
85403,71128
24610,149145
13861,64901
41957,24831
44474,108803
70677,88240
30836,10956
78044,140070
22198,147103
44499,98724
6327,75453
91243,117921
60175,63791
18806,11258
14420,61082
26431,134328
132795,24509
116078,99888
70712,143569
100910,24159
125547,76260
35477,136724
13815,12634
137202,91740
134552,65875
111353,138487
104580,128352
127383,61017
5311,117666
40405,140934
5170,75697
101784,91444
57161,101563
69596,106533
76103,47008
88110,104865
83474,142889
61884,89241
142572,45636
122072,25767
101919,55467
52229,73752
57906,44151
17599,568
76506,25256
51089,111194
4732,68889
26701,54631
48070,39810
31652,91139
5557,88568
79342,135844
117953,131174
123686,13663
52621,108576
79486,80154
108634,13795
70331,140549
22397,87770
140068,122713
128006,91495
3398,147940
14087,126286
133560,66269
109624,78780
140244,134280
111357,29328
116116,127055
56740,74890
51366,5256
2619,72669
63583,24280
93968,91573
146895,65818
144257,120984
105239,105990
37952,19607
128000,30966
53627,130100
77581,30657
22989,84963
147481,7131
148967,134065
111648,11539
60911,74603
82558,5898
73188,125810
9737,124676
117453,143038
120311,123090
39276,57909
11531,20276
143898,32705
62012,102290
115926,51394
19120,41617
59010,60255
32213,41338
95632,92125
120102,141594
64368,28749
25513,146976
41013,81486
74765,145361
5049,97379
99842,74112
87266,44603
143764,9607
74704,139491
149628,35715
59406,87597
6488,96623
86009,104643
67833,149085
64923,140442
100317,89028
108286,57305
9705,79551
2892,54198
44055,84638
121634,140077
54667,108437
64689,20383
35232,50657
139951,124222
145311,138345
21817,51052
11733,140767
147054,141303
62640,96860
9286,86699
35664,11895
103419,99932
69716,12890
20877,124121
114288,77677
83542,43904
53359,92440
42588,63490
83222,112118
69343,52736
11757,5518
75664,66941
33078,54287
48955,94097
97368,96168
46493,144778
142666,71562
140437,45055
111988,141020
146469,78447
12577,75421
110715,50874
78051,108909
72299,70053
103686,38870
120393,117623
92109,130434
142354,40061
57561,121314
13526,30512
94042,7368
127987,65234
30341,89220
93741,81250
67931,80654
106921,69862
129876,134030
20290,133001
46193,107961
55555,65097
102472,20624
110445,91387
10744,97671
50952,119877
56806,92305
25920,101364
149491,107447
2195,21612
9087,139519
48214,101971
24250,2885
64024,62746
37061,101146
52877,23419
84112,90658
26950,7154
29893,98951
72800,38409
136102,120860
130402,131053
72732,47284
137599,61768
33144,12818
56561,122309
71991,87301
44615,12036
139806,127946
70613,120730
106113,28772
50185,61024
86602,3656
58669,107697
97046,59092
100476,46865
138364,73798
14914,143522
124981,138217
110000,145685
106088,50270
80394,114611
101958,74402
57974,64678
74558,119921
112533,144907
42,94364
126614,20807
147694,12210
38806,20324
137369,113071
97097,21789
92891,142052
16718,75589
111927,59093
121662,48206
54555,49912
118857,107893
2138,18780
20864,107023
143138,96348
50882,68902
89442,65823
23128,42645
131462,39604
107645,75402
69030,84599
95355,45020
7925,52362
110749,37593
5462,74944
77447,51251
94081,131878
25258,3805
141363,51871
55300,80140
132579,138455
21419,108508
115512,134963
53221,100675
25752,61503
20906,148825
142637,3681
88320,116683
100758,3332
141418,25098
126246,126987
31750,116453
142305,29815
35228,19743
60046,13907
132723,38195
43484,148393
129029,134355
143997,94010
121057,12637
124927,31841
92120,141976
92092,31862
56048,33881
46412,68258
69464,36848
137457,54478
20435,82792
11558,143096
54417,77388
117560,108120
102748,50562
140747,48038
74449,118995
30080,20943
58827,71893
11461,135758
79626,133665
119307,112070
43945,68062
133319,72622
102440,68170
50478,31524
102955,103342
58919,72938
36218,70982
73495,135753
88735,59596
55591,88148
115529,136626
83150,11980
55995,148109
33469,118168
2954,137625
95714,34606
70875,29877
110281,27316
34474,74422
24741,64486
49786,135727
56380,53234
125845,64141
97408,87666
51627,83073
18937,135858
141652,16705
76556,44377
121598,26052
140066,22969
33047,98064
139461,9889
54860,69240
94292,137184
55446,38741
27674,84314
68253,20811
96933,137422
96429,131842
107451,138627
59744,50449
138193,101856
148943,95790
41044,118388
138917,16834
36772,115221
68570,2504
22893,9352
48788,145165
118664,30303
11890,119481
16340,95883
54950,65204
63494,21405
77858,7156
18583,54344
145283,95543
13285,144298
104689,53089
63360,67721
29091,131187
134860,77134
16227,131343
98006,57602
79667,105724
93519,148852
96693,51065
16639,24157
99192,132864
98913,134678
82677,128195
117322,99955
41769,127167
27971,125506
102626,119506
106292,18169
127799,47704
102021,97775
48169,47296
17078,81241
65147,94829
140395,1408
50725,74534
129204,100446
16362,87131
25103,101895
52956,28374
52134,107686
31009,93615
144494,103292
70720,17905
141604,47997
39233,59500
129880,115494
100040,81631
61146,42680
136953,22307
53167,104421
38753,101398
124743,106807
29042,39182
43278,92094
120785,49290
3782,140104
4644,45944
31167,3645
39249,65019
59520,5511
45561,30198
147469,42918
148155,44006
140519,74036
148382,91751
11253,42108
29734,46653
116837,47148
49331,131406
110508,3569
77847,116349
21670,45071
32150,11111
18232,148124
116112,130819
95409,109593
52702,107019
14372,130887
119960,115619
46717,13059
56462,94127
63645,28551
110271,112916
22301,22555
42679,854
135441,71823
101808,69314
58408,133671
19514,65166
19859,108380
118997,138343
60891,10785
90450,113792
33217,146051
41949,120357
15227,53527
37872,143117
68656,130003
52932,123065
102544,98467
81934,59400
10802,73502
140854,80448
81614,54596
53947,28780
134781,145076
65405,108850
69857,146965
37648,51465
69673,88602
45479,64560
140604,8426
17403,125300
96849,122344
149111,130037
63169,127244
35373,2930
49883,97437
54522,64973
144053,143625
14917,53778
105262,72206
48947,62887
106618,136997
69199,18123
19572,95344
104386,133992
67491,140025
62071,50190
39079,15985
81861,99762
17865,106099
31223,135435
99400,4339
140266,130945
119518,69692
72417,145347
16446,104070
43677,82380
87509,34289
24850,128287
32113,145983
50405,89805
62799,12077
25130,74496
40370,26133
117847,39093
49833,143610
41570,142977
74751,74400
120450,55425
88402,120044
45122,65570
55640,120049
15611,91234
126387,55003
42476,8448
37135,68151
139063,21637
44975,16152
101355,102881
138720,132144
109764,16204
59168,29845
44223,1559
26544,105760
133139,84173
18490,122459
109991,68812
7002,117982
125262,136135
77797,122289
47953,91934
126010,84237
10916,34801
54675,8827
33640,37062
34353,69261
77360,81809
99889,54678
73429,130738
20850,115432
55110,65242
81889,87406
77202,78538
47782,58027
63088,36330
131415,25397
21695,147098
59944,71885
30962,63785
55562,63449
21424,149922
133655,62848
131513,106065
74178,34774
58713,14532
58353,84843
15331,2271
136363,97720
53132,129690
89918,69282
21039,77092
22479,70064
46519,70163
120298,134283
135856,75659
46084,94200
114942,51903
63696,74899
50170,108114
36792,128200
7170,116910
22537,147529
75557,32459
114146,71738
48738,20888
18346,80196
133662,86674
72363,29647
39188,37787
105022,71688
15136,59641
143132,33767
69307,76591
5137,113699
27912,33470
43815,123465
121804,123289
100427,10527
23818,9186
126525,140031
63559,100509
78892,119236
125354,137739
131216,2998
123556,987
9165,39240
116464,104066
25091,64462
121255,6227
53273,61692
77934,37953
123440,50700
74813,67362
128682,132408
45538,86951
69964,144060
80012,140799
65997,110930
78895,124309
129591,84621
87332,68123
99850,26454
24140,21519
84844,137324
104535,21138
38623,62172
61817,93837
100572,122430
23389,73915
49382,56090
146432,89646
73570,102804
2627,137453
33860,78522
34361,123598
54241,131404
62300,143645
102362,75789
61504,69113
80093,17655
138368,15895
10110,2696
6379,9910
102295,24582
104864,107234
72497,38299
124291,82635
47393,82969
144701,141175
59113,59899
58549,61025
59605,148770
139710,35567
40044,60496
37783,70137
123150,67986
57336,123505
117232,138898
95186,2261
93193,119372
112584,123822
87607,64201
144461,31833
129496,74853
5329,97958
111469,65321
149728,138741
82054,32531
44157,140632
31528,42355
87036,88360
80985,127163
145192,23395
67803,80856
131883,83387
9493,38803
126737,87802
88191,87590
63857,28283
18344,88863
144018,31608
33675,31084
82713,96902
24148,56401
43130,113701
15165,82500
139521,135746
116420,144609
101795,141898
102784,116664
141342,58249
32624,979
108473,132069
119191,49629
110120,12276
114051,46257
129633,70741
53741,147321
144169,41852
131790,45227
99112,130754
92650,97974
36607,78701
123051,20710
